rto_code,vehicle_category,fuel_type,vehicle_count,data_period,source_citation
DL3,ALL,PETROL/CNG,483,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PETROL(E20),35929,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PETROL(E20)/CNG,3311,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PETROL(E20)/HYBRID,428,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PETROL(E20)/HYBRID/CNG,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PETROL/HYBRID,449,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PETROL/HYBRID/CNG,2,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,PURE EV,6934,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL3,ALL,STRONG HYBRID EV,751,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,CNG ONLY,100,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,DIESEL,674,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,DIESEL/HYBRID,16,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,ELECTRIC(BOV),303,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,FLEX-FUEL(ETHANOL),4,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL,11567,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL/CNG,756,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL(E20),28189,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL(E20)/CNG,5932,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL(E20)/HYBRID,952,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL(E20)/HYBRID/CNG,6,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL/HYBRID,348,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PETROL/HYBRID/CNG,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,PURE EV,5536,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL9,ALL,STRONG HYBRID EV,760,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,CNG ONLY,1,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,DIESEL,473,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,DIESEL/HYBRID,5,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,ELECTRIC(BOV),2568,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,PETROL,9559,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,PETROL/CNG,430,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,PETROL(E20),18045,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,PETROL(E20)/CNG,1677,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,PETROL(E20)/HYBRID,171,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,PETROL/HYBRID,58,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,PURE EV,3157,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
DL4,ALL,STRONG HYBRID EV,155,"2026 (Calendar Year, till-date)","vahan.parivahan.gov.in/vahan4dashboard, State=Delhi(16), Tabular Summary (RTO x Fuel), accessed 2026-07-21"
