zone,param,timestamp,value
Anand Vihar,PM10,2026-06-26 10:00:00,280.0
Anand Vihar,PM10,2026-06-26 11:00:00,227.0
Anand Vihar,PM10,2026-06-26 12:00:00,223.0
Anand Vihar,PM10,2026-06-26 18:00:00,311.0
Anand Vihar,PM10,2026-06-26 19:00:00,250.0
Anand Vihar,PM10,2026-06-26 20:00:00,221.0
Anand Vihar,PM10,2026-06-26 21:00:00,271.0
Anand Vihar,PM10,2026-06-26 22:00:00,211.0
Anand Vihar,PM10,2026-06-26 23:00:00,89.0
Anand Vihar,PM10,2026-06-27 00:00:00,238.0
Anand Vihar,PM10,2026-06-27 01:00:00,282.0
Anand Vihar,PM10,2026-06-27 02:00:00,201.0
Anand Vihar,PM10,2026-06-27 03:00:00,221.0
Anand Vihar,PM10,2026-06-27 04:00:00,241.0
Anand Vihar,PM10,2026-06-27 05:00:00,212.0
Anand Vihar,PM10,2026-06-27 06:00:00,252.0
Anand Vihar,PM10,2026-06-27 07:00:00,227.0
Anand Vihar,PM10,2026-06-27 08:00:00,291.0
Anand Vihar,PM10,2026-06-27 09:00:00,169.0
Anand Vihar,PM10,2026-06-27 10:00:00,216.0
Anand Vihar,PM10,2026-06-27 11:00:00,252.0
Anand Vihar,PM10,2026-06-27 12:00:00,234.0
Anand Vihar,PM10,2026-06-27 13:00:00,240.0
Anand Vihar,PM10,2026-06-27 14:00:00,316.0
Anand Vihar,PM10,2026-06-27 15:00:00,259.0
Anand Vihar,PM10,2026-06-27 16:00:00,216.0
Anand Vihar,PM10,2026-06-27 17:00:00,210.0
Anand Vihar,PM10,2026-06-27 18:00:00,222.0
Anand Vihar,PM10,2026-06-27 19:00:00,147.0
Anand Vihar,PM10,2026-06-27 20:00:00,282.0
Anand Vihar,PM10,2026-06-27 21:00:00,274.0
Anand Vihar,PM10,2026-06-27 22:00:00,373.0
Anand Vihar,PM10,2026-06-27 23:00:00,381.0
Anand Vihar,PM10,2026-06-28 00:00:00,434.0
Anand Vihar,PM10,2026-06-28 01:00:00,383.0
Anand Vihar,PM10,2026-06-28 02:00:00,300.0
Anand Vihar,PM10,2026-06-28 03:00:00,321.0
Anand Vihar,PM10,2026-06-28 04:00:00,302.0
Anand Vihar,PM10,2026-06-28 05:00:00,257.0
Anand Vihar,PM10,2026-06-28 06:00:00,202.0
Anand Vihar,PM10,2026-06-28 07:00:00,252.0
Anand Vihar,PM10,2026-06-28 08:00:00,259.0
Anand Vihar,PM10,2026-06-28 09:00:00,219.0
Anand Vihar,PM10,2026-06-28 10:00:00,431.0
Anand Vihar,PM10,2026-06-28 11:00:00,245.0
Anand Vihar,PM10,2026-06-28 12:00:00,199.0
Anand Vihar,PM10,2026-06-28 13:00:00,186.0
Anand Vihar,PM10,2026-06-28 14:00:00,195.0
Anand Vihar,PM10,2026-06-28 15:00:00,100.0
Anand Vihar,PM10,2026-06-28 16:00:00,172.0
Anand Vihar,PM10,2026-06-28 17:00:00,219.0
Anand Vihar,PM10,2026-06-28 18:00:00,257.0
Anand Vihar,PM10,2026-06-28 19:00:00,454.0
Anand Vihar,PM10,2026-06-28 20:00:00,299.0
Anand Vihar,PM10,2026-06-28 21:00:00,295.0
Anand Vihar,PM10,2026-06-28 22:00:00,278.0
Anand Vihar,PM10,2026-06-28 23:00:00,306.0
Anand Vihar,PM10,2026-06-29 00:00:00,320.0
Anand Vihar,PM10,2026-06-29 01:00:00,164.0
Anand Vihar,PM10,2026-06-29 02:00:00,226.0
Anand Vihar,PM10,2026-06-29 03:00:00,202.0
Anand Vihar,PM10,2026-06-29 04:00:00,139.0
Anand Vihar,PM10,2026-06-29 05:00:00,205.0
Anand Vihar,PM10,2026-06-29 06:00:00,321.0
Anand Vihar,PM10,2026-06-29 07:00:00,230.0
Anand Vihar,PM10,2026-06-29 08:00:00,235.0
Anand Vihar,PM10,2026-06-29 09:00:00,291.0
Anand Vihar,PM10,2026-06-29 10:00:00,221.0
Anand Vihar,PM10,2026-06-29 11:00:00,164.0
Anand Vihar,PM10,2026-06-29 12:00:00,241.0
Anand Vihar,PM10,2026-06-29 13:00:00,243.0
Anand Vihar,PM10,2026-06-29 14:00:00,257.0
Anand Vihar,PM10,2026-06-29 15:00:00,279.0
Anand Vihar,PM10,2026-06-29 16:00:00,357.0
Anand Vihar,PM10,2026-06-29 17:00:00,306.0
Anand Vihar,PM10,2026-06-29 18:00:00,365.0
Anand Vihar,PM10,2026-06-29 19:00:00,322.0
Anand Vihar,PM10,2026-06-29 20:00:00,255.0
Anand Vihar,PM10,2026-06-29 21:00:00,201.0
Anand Vihar,PM10,2026-06-29 22:00:00,291.0
Anand Vihar,PM10,2026-06-29 23:00:00,232.0
Anand Vihar,PM10,2026-06-30 00:00:00,240.0
Anand Vihar,PM10,2026-06-30 01:00:00,285.0
Anand Vihar,PM10,2026-06-30 02:00:00,293.0
Anand Vihar,PM10,2026-06-30 03:00:00,190.0
Anand Vihar,PM10,2026-06-30 04:00:00,207.0
Anand Vihar,PM10,2026-06-30 05:00:00,212.0
Anand Vihar,PM10,2026-06-30 06:00:00,185.0
Anand Vihar,PM10,2026-06-30 07:00:00,114.0
Anand Vihar,PM10,2026-06-30 08:00:00,208.0
Anand Vihar,PM10,2026-06-30 09:00:00,433.0
Anand Vihar,PM10,2026-06-30 10:00:00,637.0
Anand Vihar,PM10,2026-06-30 11:00:00,517.0
Anand Vihar,PM10,2026-06-30 12:00:00,510.0
Anand Vihar,PM10,2026-06-30 13:00:00,489.0
Anand Vihar,PM10,2026-06-30 14:00:00,465.0
Anand Vihar,PM10,2026-06-30 15:00:00,443.0
Anand Vihar,PM10,2026-06-30 16:00:00,481.0
Anand Vihar,PM10,2026-07-01 08:00:00,163.0
Anand Vihar,PM10,2026-07-01 09:00:00,193.0
Anand Vihar,PM10,2026-07-01 10:00:00,205.0
Anand Vihar,PM10,2026-07-01 11:00:00,156.0
Anand Vihar,PM10,2026-07-01 12:00:00,106.0
Anand Vihar,PM10,2026-07-01 13:00:00,9.0
Anand Vihar,PM10,2026-07-01 14:00:00,56.0
Anand Vihar,PM10,2026-07-01 15:00:00,117.0
Anand Vihar,PM10,2026-07-01 16:00:00,139.0
Anand Vihar,PM10,2026-07-01 17:00:00,147.0
